run_id,start_utc,model,session_id,turns,commands_run,self_test_runs,test_failures,iterations_to_green,repair_cycles,did_reinstall,tok_input,tok_output,tok_cache_read,tok_cache_write,cost_usd,executor_wall_s,gate_ms,verdict,reason_codes,files_changed,changed_paths,unexpected_paths,scope_creep,lines_added,lines_removed,diff_sha12,claimed_success,task_ref,card_sha,policy_sha,base_commit,gate_version,executor_version,result_path
v2-20260903T190015Z,2026-09-03 19:00:15,claude-haiku-4-5-20251001,f8f898fa-eb59-4c82-a92a-0eecf2179729,24,6,1,0,1,0,1,1613,6361,953268,29403,0.1876,82,9530,NEEDS_HUMAN,"PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",5,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py|tox.ini","CHANGELOG.md",1,13,27,f24bf1027c9a,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T190015Z-gate/result.json
v2-20260903T190441Z,2026-09-03 19:04:41,claude-haiku-4-5-20251001,96a885f6-85f9-4ace-915f-a00580e5a82c,19,5,1,0,1,0,1,1581,5238,749670,27430,0.1576,70,9768,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,10,26,b8eab3b61118,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T190441Z-gate/result.json
v2-20260903T190602Z,2026-09-03 19:06:02,claude-haiku-4-5-20251001,3a1294b8-fc32-4af3-83e8-94473b434e7b,20,7,1,0,1,0,1,1573,5139,705895,25925,0.1497,67,9522,FAIL,"ASSERTION_FAILED",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,10,24,2ee42cf2745f,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T190602Z-gate/result.json
v2-20260903T190720Z,2026-09-03 19:07:20,claude-haiku-4-5-20251001,3e3973a4-ede4-4922-a902-0475ab0293e8,20,6,1,0,1,0,1,1581,5117,767627,27434,0.1588,66,9834,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,22,73c53482e128,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T190720Z-gate/result.json
v2-20260903T190837Z,2026-09-03 19:08:37,claude-haiku-4-5-20251001,d4e0100f-8947-4d02-920f-35d7105fcb40,20,5,1,0,1,0,1,1581,6197,764254,27655,0.1643,78,8621,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,11,26,92bbe1ba08c3,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T190837Z-gate/result.json
v2-20260903T191006Z,2026-09-03 19:10:06,claude-haiku-4-5-20251001,0991507e-ea4d-4f26-a176-bb47a1fda1f5,22,6,1,0,1,0,1,1613,6275,910594,27576,0.1792,82,8241,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,11,26,653af3d1dc64,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T191006Z-gate/result.json
v2-20260903T191138Z,2026-09-03 19:11:38,claude-haiku-4-5-20251001,7f1715ef-0cde-4583-b727-2ebc220dc99f,21,6,1,0,1,0,1,1597,5776,825048,26323,0.1656,76,9579,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,25,154df12758c7,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T191138Z-gate/result.json
v2-20260903T191305Z,2026-09-03 19:13:05,claude-haiku-4-5-20251001,5fdadd88-21e3-4927-be58-75bd5b0d325a,21,6,1,0,1,0,1,1557,5750,617947,28081,0.1483,71,8260,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,11,27,5eadc865ba72,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T191305Z-gate/result.json
v2-20260903T191426Z,2026-09-03 19:14:26,claude-haiku-4-5-20251001,2f5fbb82-f721-427a-82dc-1b3d0ca9a21b,20,6,1,0,1,0,1,1589,5768,783697,27523,0.1638,73,8394,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,80092727df35,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T191426Z-gate/result.json
v2-20260903T191549Z,2026-09-03 19:15:49,claude-haiku-4-5-20251001,580a4651-46f8-472a-bca7-e25c8984a21f,22,7,2,0,1,0,1,1613,6472,953288,33502,0.1963,83,8472,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,d685b17a2eb4,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T191549Z-gate/result.json
