run_id,start_utc,model,turns,tok_input,tok_output,tok_cache_read,tok_cache_write,cost_usd,executor_wall_s,gate_ms,verdict,reason_codes,files_changed,changed_paths,diff_sha12,result_path
sdlc-20260902T192345Z,2026-09-02 19:23:45,claude-haiku-4-5-20251001,19,1589,4776,784744,27261,0.1585,70,10231,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",7de694260732,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T192456Z-1e2264f8a8f0/result.json
sdlc-20260902T192507Z,2026-09-02 19:25:07,claude-haiku-4-5-20251001,23,1613,6063,921404,26267,0.1766,70,9332,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",2db19dce5635,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T192618Z-a6a902b310d3/result.json
sdlc-20260902T192628Z,2026-09-02 19:26:28,claude-haiku-4-5-20251001,22,1613,6365,941715,28471,0.1846,84,9136,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",66755ad46871,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T192753Z-ab0080809f21/result.json
sdlc-20260902T192803Z,2026-09-02 19:28:03,claude-haiku-4-5-20251001,20,1589,5855,780429,25071,0.1590,77,10328,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",cdb41e8aed74,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T192921Z-ee32b08e5cc3/result.json
sdlc-20260902T192932Z,2026-09-02 19:29:32,claude-haiku-4-5-20251001,25,1597,6461,883038,29445,0.1811,82,9898,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",eea5746388ec,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T193055Z-044f3e5274e6/result.json
sdlc-20260902T193547Z,2026-09-02 19:35:47,claude-haiku-4-5-20251001,20,1597,5478,796799,24458,0.1576,73,9571,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",4793f6a99ea4,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T193701Z-46981a82458f/result.json
sdlc-20260902T193711Z,2026-09-02 19:37:11,claude-haiku-4-5-20251001,22,1605,6068,854036,25159,0.1677,80,10065,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",66755ad46871,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T193833Z-9caf89603f98/result.json
sdlc-20260902T193843Z,2026-09-02 19:38:43,claude-haiku-4-5-20251001,23,1621,5385,952870,26755,0.1773,75,9236,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",2db19dce5635,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T193959Z-995876904832/result.json
sdlc-20260902T194009Z,2026-09-02 19:40:09,claude-haiku-4-5-20251001,20,1597,5654,839357,27750,0.1693,75,9420,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",d685b17a2eb4,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T194126Z-707b6ce5af4a/result.json
sdlc-20260902T194135Z,2026-09-02 19:41:35,claude-haiku-4-5-20251001,21,1581,5223,774924,27797,0.1608,68,9346,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",d685b17a2eb4,/Users/jjahanzad/Code/Career/blindspot-remediation/release-gate/demo/python-slugify/workbench/python-slugify/.release-gate/runs/20260902T194244Z-d2d2890c11cb/result.json
sdlc-20260902T201026Z,2026-09-02 20:10:26,claude-haiku-4-5-20251001,20,1597,5550,847207,51481,0.2170,75,9297,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",66755ad46871,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201026Z-gate/result.json
sdlc-20260902T201153Z,2026-09-02 20:11:53,claude-haiku-4-5-20251001,19,1541,4439,514280,25551,0.1263,57,9595,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",5494c922c526,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201153Z-gate/result.json
sdlc-20260902T201301Z,2026-09-02 20:13:01,claude-haiku-4-5-20251001,19,1589,5294,767409,26127,0.1571,72,9740,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",2db19dce5635,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201301Z-gate/result.json
sdlc-20260902T201424Z,2026-09-02 20:14:24,claude-haiku-4-5-20251001,19,1581,5341,751295,27279,0.1580,69,9544,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",2db19dce5635,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201424Z-gate/result.json
sdlc-20260902T201544Z,2026-09-02 20:15:44,claude-haiku-4-5-20251001,17,1557,4625,586377,22319,0.1280,59,9247,NEEDS_HUMAN,"ASSERTION_FAILED;PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",4,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py",66c82cf6110e,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201544Z-gate/result.json
sdlc-20260902T201654Z,2026-09-02 20:16:54,claude-haiku-4-5-20251001,21,1605,5437,880272,27882,0.1726,71,8542,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",d685b17a2eb4,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201654Z-gate/result.json
sdlc-20260902T201815Z,2026-09-02 20:18:15,claude-haiku-4-5-20251001,21,1589,5780,796230,26568,0.1632,73,8224,NEEDS_HUMAN,"PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",5,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py|tox.ini",56f934d0c987,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201815Z-gate/result.json
sdlc-20260902T201938Z,2026-09-02 20:19:38,claude-haiku-4-5-20251001,21,1605,6035,873325,27452,0.1740,78,8436,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",80092727df35,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T201938Z-gate/result.json
sdlc-20260902T202106Z,2026-09-02 20:21:06,claude-haiku-4-5-20251001,20,1597,5547,826863,27453,0.1669,72,8264,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini",51e4ca76a893,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T202106Z-gate/result.json
sdlc-20260902T202228Z,2026-09-02 20:22:28,claude-haiku-4-5-20251001,18,1557,4600,612566,25678,0.1372,59,8374,FAIL,"ASSERTION_FAILED",4,"README.md|setup.py|slugify/slugify.py|tox.ini",8aee17d64c7a,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/sdlc-20260902T202228Z-gate/result.json
